Sample	EMT_KS_Score
GSM5258454	-0.390427643450018
GSM5258455	-0.381901840490798
GSM5258456	-0.386728617827499
GSM5258457	-0.318251533742331
GSM5258458	-0.284915193071093
GSM5258459	-0.346400216528329
GSM5258460	-0.254195236376759
GSM5258461	-0.253022374594009
GSM5258462	-0.314462287982678
GSM5258463	-0.230963551064598
GSM5258464	-0.276524720317575
GSM5258465	-0.248195597257308
GSM5258466	0.278870443883075
GSM5258467	0.288614218693612
GSM5258468	0.243233489714904
GSM5258469	0.197897870804764
GSM5258470	0.148773006134969
GSM5258471	0.113226272103934
